,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,轉彎之後......,2021-05-14T00:00:00,曙光電影有限公司,美亞娛樂發展股份有限公司##良人行影業有限公司##曙光電影有限公司##(大陸)華策影業(天津)有限公司##(香港)驕陽電影有限公司##(香港)種子電影有限公司,19,246,1.0,58286.0,595,137310.0,0712-0725,721016.0
1,中華民國,轉彎之後......,2021-05-14T00:00:00,曙光電影有限公司,美亞娛樂發展股份有限公司##良人行影業有限公司##曙光電影有限公司##(大陸)華策影業(天津)有限公司##(香港)驕陽電影有限公司##(香港)種子電影有限公司,11,52,-0.48,13046.0,647,150356.0,0726-0801,234724.0
2,中華民國,轉彎之後......,2021-05-14T00:00:00,曙光電影有限公司,美亞娛樂發展股份有限公司##良人行影業有限公司##曙光電影有限公司##(大陸)華策影業(天津)有限公司##(香港)驕陽電影有限公司##(香港)種子電影有限公司,7,13,-0.75,3190.0,660,153546.0,0802-0808,136779.0
